#At time x allocated y bytes for process z from I to j
At time 6 allocated 255 bytes for process 1 from 0 to 255
At time 8 freed 255 bytes for process 1 from 0 to 255
At time 13 allocated 255 bytes for process 2 from 0 to 255
At time 16 allocated 200 bytes for process 3 from 256 to 511
At time 19 allocated 200 bytes for process 4 from 512 to 767
At time 22 allocated 200 bytes for process 5 from 768 to 1023
At time 34 freed 200 bytes for process 4 from 512 to 767
At time 34 allocated 200 bytes for process 7 from 512 to 767
At time 35 freed 200 bytes for process 7 from 512 to 767
At time 36 freed 200 bytes for process 5 from 768 to 1023
At time 41 freed 200 bytes for process 3 from 256 to 511
At time 41 allocated 255 bytes for process 6 from 256 to 511
At time 47 freed 255 bytes for process 2 from 0 to 255
At time 48 freed 255 bytes for process 6 from 256 to 511
