#At time x process y state arr w total z remain y wait k
At time 1 process 1 started arr 1 total 12 remain 12 wait 0
At time 2 process 1 stopped arr 1 total 12 remain 11 wait 0
At time 2 process 2 started arr 2 total 10 remain 10 wait 0
At time 3 process 2 stopped arr 2 total 10 remain 9 wait 0
At time 3 process 1 resumed arr 1 total 12 remain 11 wait 1
At time 4 process 1 stopped arr 1 total 12 remain 10 wait 1
At time 4 process 3 started arr 3 total 7 remain 7 wait 1
At time 5 process 3 stopped arr 3 total 7 remain 6 wait 1
At time 5 process 2 resumed arr 2 total 10 remain 9 wait 2
At time 6 process 2 stopped arr 2 total 10 remain 8 wait 2
At time 6 process 1 resumed arr 1 total 12 remain 10 wait 3
At time 7 process 1 stopped arr 1 total 12 remain 9 wait 3
At time 7 process 4 started arr 5 total 4 remain 4 wait 2
At time 8 process 4 stopped arr 5 total 4 remain 3 wait 2
At time 8 process 5 started arr 5 total 4 remain 4 wait 3
At time 9 process 5 stopped arr 5 total 4 remain 3 wait 3
At time 9 process 6 started arr 5 total 4 remain 4 wait 4
At time 10 process 6 stopped arr 5 total 4 remain 3 wait 4
At time 10 process 3 resumed arr 3 total 7 remain 6 wait 6
At time 11 process 3 stopped arr 3 total 7 remain 5 wait 6
At time 11 process 2 resumed arr 2 total 10 remain 8 wait 7
At time 12 process 2 stopped arr 2 total 10 remain 7 wait 7
At time 12 process 1 resumed arr 1 total 12 remain 9 wait 8
At time 13 process 1 stopped arr 1 total 12 remain 8 wait 8
At time 13 process 4 resumed arr 5 total 4 remain 3 wait 7
At time 14 process 4 stopped arr 5 total 4 remain 2 wait 7
At time 14 process 5 resumed arr 5 total 4 remain 3 wait 8
At time 15 process 5 stopped arr 5 total 4 remain 2 wait 8
At time 15 process 6 resumed arr 5 total 4 remain 3 wait 9
At time 16 process 6 stopped arr 5 total 4 remain 2 wait 9
At time 16 process 3 resumed arr 3 total 7 remain 5 wait 11
At time 17 process 3 stopped arr 3 total 7 remain 4 wait 11
At time 17 process 2 resumed arr 2 total 10 remain 7 wait 12
At time 18 process 2 stopped arr 2 total 10 remain 6 wait 12
At time 18 process 1 resumed arr 1 total 12 remain 8 wait 13
At time 19 process 1 stopped arr 1 total 12 remain 7 wait 13
At time 19 process 4 resumed arr 5 total 4 remain 2 wait 12
At time 20 process 4 stopped arr 5 total 4 remain 1 wait 12
At time 20 process 5 resumed arr 5 total 4 remain 2 wait 13
At time 21 process 5 stopped arr 5 total 4 remain 1 wait 13
At time 21 process 6 resumed arr 5 total 4 remain 2 wait 14
At time 22 process 6 stopped arr 5 total 4 remain 1 wait 14
At time 22 process 3 resumed arr 3 total 7 remain 4 wait 16
At time 23 process 3 stopped arr 3 total 7 remain 3 wait 16
At time 23 process 2 resumed arr 2 total 10 remain 6 wait 17
At time 24 process 2 stopped arr 2 total 10 remain 5 wait 17
At time 24 process 1 resumed arr 1 total 12 remain 7 wait 18
At time 25 process 1 stopped arr 1 total 12 remain 6 wait 18
At time 25 process 4 resumed arr 5 total 4 remain 1 wait 17
At time 26 process 4 finished arr 5 total 4 remain 0 wait 17 TA 21 WTA 5.25
At time 26 process 5 resumed arr 5 total 4 remain 1 wait 18
At time 27 process 5 finished arr 5 total 4 remain 0 wait 18 TA 22 WTA 5.50
At time 27 process 6 resumed arr 5 total 4 remain 1 wait 19
At time 28 process 6 finished arr 5 total 4 remain 0 wait 19 TA 23 WTA 5.75
At time 28 process 3 resumed arr 3 total 7 remain 3 wait 21
At time 29 process 3 stopped arr 3 total 7 remain 2 wait 21
At time 29 process 2 resumed arr 2 total 10 remain 5 wait 22
At time 30 process 2 stopped arr 2 total 10 remain 4 wait 22
At time 30 process 1 resumed arr 1 total 12 remain 6 wait 23
At time 31 process 1 stopped arr 1 total 12 remain 5 wait 23
At time 31 process 3 resumed arr 3 total 7 remain 2 wait 23
At time 32 process 3 stopped arr 3 total 7 remain 1 wait 23
At time 32 process 2 resumed arr 2 total 10 remain 4 wait 24
At time 33 process 2 stopped arr 2 total 10 remain 3 wait 24
At time 33 process 1 resumed arr 1 total 12 remain 5 wait 25
At time 34 process 1 stopped arr 1 total 12 remain 4 wait 25
At time 34 process 3 resumed arr 3 total 7 remain 1 wait 25
At time 35 process 3 finished arr 3 total 7 remain 0 wait 25 TA 32 WTA 4.57
At time 35 process 2 resumed arr 2 total 10 remain 3 wait 26
At time 36 process 2 stopped arr 2 total 10 remain 2 wait 26
At time 36 process 1 resumed arr 1 total 12 remain 4 wait 27
At time 37 process 1 stopped arr 1 total 12 remain 3 wait 27
At time 37 process 2 resumed arr 2 total 10 remain 2 wait 27
At time 38 process 2 stopped arr 2 total 10 remain 1 wait 27
At time 38 process 1 resumed arr 1 total 12 remain 3 wait 28
At time 39 process 1 stopped arr 1 total 12 remain 2 wait 28
At time 39 process 2 resumed arr 2 total 10 remain 1 wait 28
At time 40 process 2 finished arr 2 total 10 remain 0 wait 28 TA 38 WTA 3.80
At time 40 process 1 resumed arr 1 total 12 remain 2 wait 29
At time 41 process 1 stopped arr 1 total 12 remain 1 wait 29
At time 41 process 1 resumed arr 1 total 12 remain 1 wait 29
At time 42 process 1 finished arr 1 total 12 remain 0 wait 29 TA 41 WTA 3.42
